,Enrichment,FuelTemperature,WaterTemperature,Pitch,FuelRadius,WaterDensity,Keff,Std_dev
0,1.33,1500.0,429.42638,1.989,0.639,0.919,1.13121,0.00035
1,7.5,1022.8,440.093968,1.939,0.741,0.909,1.44104,0.0004
2,5.14,353.4,348.854867,1.384,0.581,0.981,1.29719,0.00045
3,7.54,717.7,330.850967,1.642,0.519,0.991,1.56388,0.00041
4,1.68,1166.0,407.411055,1.008,0.204,0.939,1.05865,0.00036
5,3.93,880.0,366.196936,1.194,0.31,0.97,1.45361,0.00038
6,8.2,724.9,440.226727,1.124,0.347,0.909,1.53945,0.00038
7,2.56,1364.6,596.055377,1.081,0.322,0.671,1.28522,0.0004
8,5.84,1207.6,314.477503,1.464,0.591,0.998,1.33732,0.0004
9,7.82,1643.0,450.156576,1.696,0.284,0.899,1.51587,0.00039
10,1.07,1260.5,407.321553,1.715,0.736,0.939,0.95455,0.00036
11,6.35,959.9,320.593086,1.99,0.36,0.996,1.4649,0.00036
12,5.72,981.1,407.9231,1.319,0.251,0.938,1.48557,0.00035
13,7.11,1657.0,461.350978,1.051,0.323,0.887,1.48795,0.00039
14,6.78,473.6,305.343796,1.947,0.432,1.001,1.5638,0.00039
15,3.28,782.3,351.420824,1.172,0.223,0.979,1.2976,0.00036
16,1.07,1648.4,306.55434,1.772,0.425,1.001,0.94785,0.00036
17,1.77,793.9,590.048607,1.041,0.267,0.687,1.20802,0.00043
18,4.41,854.8,572.051633,1.56,0.623,0.728,1.25064,0.00045
19,3.83,999.1,465.221816,1.469,0.654,0.883,1.11028,0.00042
20,6.76,1796.3,414.138357,1.175,0.482,0.933,1.26685,0.0004
21,6.79,1287.2,337.393843,1.31,0.341,0.987,1.56646,0.00039
22,3.8,986.5,517.437523,1.83,0.816,0.819,1.1263,0.00041
23,5.64,905.5,579.275497,1.871,0.211,0.712,1.23861,0.00036
24,3.0,1123.7,378.932866,1.879,0.724,0.961,1.31044,0.00041
25,8.75,1035.8,324.227626,1.488,0.639,0.994,1.32336,0.00038
26,7.81,1525.4,482.087011,1.322,0.397,0.864,1.53161,0.00043
27,1.11,967.2,428.591438,1.81,0.353,0.92,0.83977,0.00031
28,4.45,871.1,433.396634,1.184,0.305,0.916,1.48602,0.00035
29,6.59,930.0,426.367746,1.408,0.417,0.922,1.54372,0.00038
30,1.32,1255.6,407.514266,1.387,0.435,0.939,1.11729,0.00033
31,2.12,798.8,537.58557,1.319,0.454,0.789,1.2357,0.00041
32,6.7,627.7,494.941504,1.266,0.274,0.849,1.57153,0.00033
33,1.9,1149.1,507.016776,1.185,0.366,0.833,1.22946,0.0004
34,3.66,1376.0,389.608864,1.961,0.857,0.953,1.19819,0.00048
35,6.25,1471.0,462.535925,1.655,0.603,0.886,1.42401,0.00041
36,5.66,1228.0,337.004411,1.926,0.886,0.988,1.19254,0.00049
37,3.54,1714.6,320.489578,1.889,0.718,0.996,1.34372,0.00046
38,3.83,857.4,370.249863,1.579,0.685,0.967,1.19818,0.00043
39,8.2,622.6,442.925558,1.54,0.526,0.906,1.51927,0.00038
40,8.85,1136.9,530.211948,1.037,0.244,0.801,1.59566,0.00037
41,4.51,873.4,326.281621,1.029,0.324,0.993,1.44805,0.00037
42,1.58,1703.5,457.445448,1.873,0.32,0.892,0.91608,0.00034
43,4.15,543.0,532.610754,1.265,0.399,0.797,1.43181,0.00037
44,1.43,1412.6,497.649113,1.942,0.496,0.845,1.11093,0.00041
45,1.81,383.6,320.66212,1.312,0.325,0.996,1.19568,0.00032
46,5.69,1779.1,588.809717,1.07,0.321,0.69,1.42167,0.00046
47,6.92,1700.2,524.664262,1.551,0.686,0.809,1.18595,0.00042
48,8.49,1072.1,444.426572,1.617,0.31,0.905,1.58751,0.00037
